"BAAN NUMBER", "SAP NUMBER", "MATERIAL DESCRIPTION", "PURCHASE ORDER TEXT"
"524000","1205710","BEARING, THRUST 051007","D29 INA BEARING      N8-S1"
"524001","1205711","BEARING, ROLLER 087636","RBC SJ8537      N8-S1"
"524003","1205712","BEARING HOUSING, 147843/9","DOOR UPPER  N8-S1"
"522312","1205713","9116O0009 LIMIT SWITCH","M8-S5"
"522313","1205714","2040F1671 CAM LEVER SET","2 PC. SET       M7-FL"
"522169","1205715","9105F0145 ""O"" RING","M7-S3"
"522138","1205716","2013F1151 PRESSURE PAD","M4-S3"
"522139","1205717","2040B0511 NYLON INSERT PAD","HOLD DOWN PAD   M7-S8"
"522140","1205718","2050R0550 NUT (2011F1931)","M4-S8"
"522141","1205719","2013F1311 PLATE","M4-S3"
"522143","1205720","9116X1040 PUSH BUTTON SWITCH","BUTTON SWITCH   M8-S4"
"522145","1205721","10083036 SEALING RING","REPLACES 9105F0094      M7-S4"
"522323","1205722","BLACK, REPRO UHMW","SO#44 1/8"" X 48"" X 120""         W-88"
"422140","1205723","UNION (BRASS) 62F-3/16""","K1-S5"
"522160","1205724","2040D0251 CLUTCH (60 C/S)","M6-FL"
"524305","1205725","BODY SEAL KIT (B-0227)","A994 BODY SEAL KIT HARRISON MACHINE      N7-S1"
"524307","1205726","B-413-GRA VISE CYLINDER","R.H.HARRISON  W-10"
"524309","1205727","BEARING, A-907 BRASS","N7-S1"
"523910","1205728","VALVE, 47296","M9-S4"
"524405","1205729","CERAMIC NOZZLE, 09053","5/16"" TITAN     N7-S3"
"524406","1205730","SHOCK ABSORBER, 110745","GABRIEL SHOCK  N7-S4"
"524407","1205731","STEEL SPACER, 114165","N7-S3"
"536104","1205732","BULB BP 2470/H3 CATERPILLAR","GE 503500U  H3 24V 70W   P9-S2"
"524408","1205733","RUBBER BUSHING, 110715","N7-S4"
"523931","1205734","BUSHING, 810-900-004","M10-S3"
"532108","1205735","CAM SPRINGS 18084","O4-S5"
"523956","1205736","SPRING, 1326","N9-S1"
"523957","1205737","BEARING HOUSING, 110330","N9-S10"
"801208","1205738","JAN, TRASH BAG CB7121","VP 6438-58110, 38 X58 1.1 MIL 60 GAL"
"801209","1205739","JAN, TRASH CAN LINER","15X9X23 .001 RUST W-21"
"801210","1205740","JAN, LIQUID HAND SOAP","6519 COCONUT OIL  P1-S4"
"812217","1205741","SHELL SPIRAX HD 80W90 5/1 PAIL","5921035203      OIL ROOM"
"812218","1205742","AEON SYNTHETIC BLOWER","OIL PD      Q1-S4"
"609104","1205743","BRAKE LINE, C604-500","1/4""O.D..040WALL.270I.D.  65--ON FENCE"
"609105","1205744","BRAKE LINE, B540 STEEL","LINE 5/16"" X 40""      P5-S2"
"609109","1205745","TUBING, 5/16"" O.D. PLASTIC","TUBING TYPE A J844 045W.      152--ON FENCE"
"609111","1205746","HOSE, 3& BRASS BRAIDED","1"" NPT X 3'      P6-S4"
"609148","1205747","TUBING, 3/4"" X .083 WALL HYDRAULIC","SEAMLESS STEEL         FENCE OUTSIDE CRIB"
"609149","1205748","TUBING, 1/2"" HYDRAULIC STEEL","TUBING (.049 WALL)       A3-ST"
"702312","1205749","MARK-A-LOT CARTER (BLACK)","G1-S1"
"801262","1205750","BOTTLE, PLASTIC SPRAY 24 OZ.","W/SPRAYER     P1-FL"
"801265","1205751","LIQUID FIRE DRAIN","CLEANER 1 GAL. CONT.       P1-S4"
"702956","1205752","INK PAD 0408201 RIO","G1-S1"
"702950","1205753","BANDING #26215 3/4 X .025","W7-FL"
"702951","1205754","BANDING #26240 1-1/4 X .029","W7-S1"
"702957","1205755","BLACK STENCIL INK S-1","G2-CAB"
"702958","1205756","WHITE STENCIL 2700872 INK ONE","G2-S3"
"702959","1205757","YELLOW STENCIL INK","G2 SHELF 4"
"702961","1205758","ROLLER ASSEMBLY, ONE SHOT","G2-S1"
"702962","1205759","BANDING SEALS 1 1/4""","Q3-FL"
"407545","1205760","QUICK COUPLING QM-4","FOR 3/4"" HOSE           F5-S6"
"407546","1205761","QUICK COUPLING QM-23","FOR 3/4"" HOSE          F5-S6"
"417910","1205762","BEARING, TAKE-UP, 1-15/16""","TU 250        I9-S2"
"515507","1205763","64-AXM7561 LIFT MAGNET","BI-POLAR 6.5X17 #272     W16-FL"
"417912","1205764","BEARING, TAKE-UP, 2-7/16""","#ZT82207                  I9-S4"
"515600","1205765","SPRING  REEL E10-2A","# FSB 72A-4       K1-S8"
"417916","1205766","FRAME, TAKE-UP, LD40 X 18 TUFR","(039014)    I9-S7"
"515602","1205767","CABLE GUIDE ASSY. #2FMYE","AERO-MOTIVE      K1-S8"
"408415","1205768","CABLE TIES S-14934","F2-S2"
"408416","1205769","CABLE TIES TY523M","F2-S2"
"417906","1205770","TAKE-UP FRAME ASSY SC625 X 9""","#NS400X9TUFR (038113)       I9-S1"
"308103","1205771","WIRE,#12 THHN STR.RED","E2-S2"
"308104","1205772","WIRE #10  THHN STR.BLK.","E2-S4"
"408031","1205773","ELECTRODES 169217","MILLER      F5-S7"
"309840","1205774","CORD GRIP #CM2311","E8-S4"
"309841","1205775","CORD GRIP CG5050","1/2"" SIZE      E8-S3"
"304265","1205776","FUSE, AMP GMA 1/10","C8-S7"
"413773","1205777","FILTER, FIBERGLASS, MEDIA","2 MICRON, #5001-335816          G7-S10"
"414342","1205778","HY-MS2-SR-8-65-CC-3.5-2-X","WITH HY-826-C HYD.      DOCK"
"418317","1205779","#80-20 OFFSET LINK","FOR #80 DOUBLE CHAIN      J7-S5"
"418318","1205780","#80-2M MASTER LINK","FOR #80 DOUBLE CHAIN      J7-S5"
"418322","1205781","CONNECTING LINK, A2040 SC","LINK:40"" ROLLER CHAIN       J7-S5"
"418323","1205782","CA2050 CONNECTING LINK","J7-S5"
"418324","1205783","CONNECTING LINK, 100 COT","(SLIP FIT)          J7-S5"
"413152","1205784","HYDRAULIC FITTING 142749","REPLACES (60SB-08X06)   G6-S4"
"413154","1205785","HYDRAULIC FITTING 60SB-10X08","(60SB-10X08)      G6-S4"
"408056","1205786","INSERTS 7/64"" S-14349","F5-S8"
"413171","1205787","63UC-05X05 HYDRAULIC FITTING","HYDRAULIC FITTING        G6-S5"
"413172","1205788","FITTING 849FSO-06 X 08","HYDRAULIC FITTING      G6-S7"
"413173","1205789","HYDRAULIC FITTING 842 FS 06","UNION (842 FS - 06)      G6-S6"
"413175","1205790","FITTING 848FSO-06X08","HYDRAULIC FITTING      G6-S6"
"413210","1205791","HYDRAULIC FITTING 848FS-08X06","FITTING MALE      G6-S6"
"408057","1205792","OUTGOING S14352","GUIDE TUBE .045      F5-S9"
"408058","1205793","CONTACT TIP 3/32"" T-12236","F5-S9"
"408527","1205794","STRIP ADH SUPER WEATHER 8001","STRIP ADHESIVE       F1-S6"
"408528","1205795","HIGH TACK ADHESIVE 765-1221","SEALANT 1 PT. SIZE      F1-S6"
"408059","1205796","CONTACT TIP 7/64""  T-12236","F5-S9"
"415371","1205797","VALVE, AIR K-23-01-006-1","VALVE  3/8"" PORT (REPLACES 422CAD21D53)       H7-S5"
"415372","1205798","8042C65 ASCO VALVE 1 1/2""","N.C. 110 VOLT COIL     H7-S1"
"408060","1205799","DRIVE ROLL KIT T-13355-.035","DRIVE ROLL KIT     F5-S8"
"415373","1205800","096875 REPAIR KIT","""FOR; ASCO VALVE      H8-S9"""
"408061","1205801","DRIVE ROLL T-13355","KIT 1/16""      F5-S8"
"415445","1205802","FILTER WRAP 25"" X 135& TRI DEK","#5 BULK MEDIA      W91-FL"
"309601","1205803","ADAPTER SER. V-51","150,200, OR 300 WATT      E7-S7"
"309602","1205804","GLOBE SER. V5-1 #VGL-2CL","E7-S9"
"309440","1205805","BOX DUPLEX IG8300RN-","RECEPTACLE 20 AMP      E7-S4"
"306703","1205806","RECTIFIER-1000PIV,","2.5 AMP (PTC-205)      D5-S2"
"306704","1205807","ECG SCR 5547","D5-S1"
"306705","1205808","RECTIFIER 100JB6L","D5-S2"
"306724","1205809","RESISTOR (100 OHM","1/2 WATT 271-012)      D5-S4"
"306725","1205810","RESISTOR (P312-ECG) 4.7 ohm","D5-S5"
"306726","1205811","RECTIFIER NLC137PB","D5-S2"
"308008","1205812","WIRE, THERMOUPLE","PYROMATIO  K20-2-350 TYPE K        A1"
"405113","1205813","SH-215 EXTERNAL RET.RING","F7-S9"
"405114","1205814","5""INTERNAL RET.RING","F7-S8"
"416205","1205815","2B15.4 X 2517 SHEAVE","V-BELT P.D. 15.4       H3-S3"
"416206","1205816","SHEAVE BELT 5/8"" 2AK20 X","5/8"" SHEAVE V-BELT    H2-S4"
"401368","1205817","USS HXHD BOLT 1/2 X 2-1/2""","BRASS       E9-S10"
"307306","1205818","DRUM HEATER FLEXIBLE 3630K31","E1-S7"
"306133","1205819","MOTOR, 75HP * 1725 RPM-365T","FRAME-230/460 VOLTS         W6-FL"
"401370","1205820","USS HXHD BRBOLT 1/2X3 1/2""","E9-S10"
"401371","1205821","USS HXHD BRBOLT 1/2X5 1/2""","E9-S10"
"401372","1205822","USS HXHD BRBOLT 3/8X3 1/2""","E9-S10"
"306134","1205823","MOTOR, 1/3 HP 1725 RPM","3 PHASE G48CY 480 VOLT #H159           W3-B3"
"401373","1205824","USS HXHDBRBOLT 5/16X1 1/4""","E9-S6"
"306135","1205825","MOTOR, 3/4HP, 1725RPM, 56TC","FRAME 230/460, 56C TEFC, #CM3542    W3-B3"
"306136","1205826","MOTOR, 3HP, 1725RPM, 182TC","TEFC 208-230/460, #VM3611T      W3-B1"
"306137","1205827","MOTOR, 2HP, 1730RPM, 145T","TEFC 230/460, #EM3558T    W3-B1"
"306772","1205828","RESISTOR 37204K12","(25 WATT 150 OHM)     D5-S4"
"306773","1205829","RESISTOR VK-100NA-25","15 OHM 100 WATT     D5-S5"
"306774","1205830","RESISTOR 37207K25","(25 OHM-25 WATT)    D5-S5"
"306162","1205831","MOTOR, ELECTRIC 20 HP 1800RPM","256TC FRAME               W1-B2"
"306619","1205832","CAPACITORS EC500MFD","50V. DC      D5-S1"
"303136","1205833","CIRCUIT BREAKERS QO240","SQUARE D    C5-S3"
"401322","1205834","SS-USS FLAT WASHER 3/8""","E9-S8"
"401323","1205835","FLAT WASHER SS-USS 7/8""","E9-S8"
"303137","1205836","3 POLE TRIP UNIT ITE FD63-T25","#FD63-T250    C6-S3"
"309821","1205837","DOW SILICONE #5","DIELECTRIC COMPOUND      E8-S6"
"308856","1205838","LUGS #2/0 COMPRESSION","LUGS (TB-54110)     E3-S7"
"308857","1205839","TERMINAL T&B 14RB10F","E4-S6"
"308858","1205840","TERMINAL #C-10-14","1/4"" STUD SIZE      E4-S2"
"309822","1205841","WIRE MARKERS #PK-4","E8-S8"
"309823","1205842","WIRE MARKERS #PK-5","PANPCMB5     E8-S8"
"309824","1205843","MYERS HUB 1""","E8-S3"
"308859","1205844","ADAPTER T & B  #F250-TA","E4-S2"
"309826","1205845","CORD GRIP 1/2"" CG-410","E8-S4"
"309827","1205846","MYERS HUBS 1/2""","E8-S5"
"308860","1205847","LUGS  COMPRESSION   #54104","(RED)(#8 CABLE)      E3-S7"
"308861","1205848","LUG COMPRESSION 54105","(BLUE) (#6 CABLE)       E3-S7"
"308862","1205849","LUG  COMPRESSION  #54106","(GRAY) (#4 CABLE)       E3-S7"
"305124","1205850","BULB LU1000 1000W HPS LAMP","(1000 WATT)      D8-S9"
"305125","1205851","BULB 10 WATT 250 #S6","V. D.D. BAY CLEAR     D8-S4"
"305126","1205852","BULB (6PSB)","D9-S2"
"305127","1205853","BULB ASSY. 125 B1050C1","V. 1/3 WATT RED      D8-S4"
"308867","1205854","LUG COMPRESSION  #54113","(YELLOW #250CABLE    E3-S7"
"308868","1205855","TERMINAL #1492-F1","BLOCKS STYLE F      E4-S6"
"308201","1205856","WIRE, SRML WHITE  #10 STR.","E2-FL"
"308202","1205857","WIRE, 14 SRML (BLACK)","E3-S3"
"308203","1205858","CABLE, #4/0 SRML","E3-FL"
"306925","1205859","DRY TYPE TRANSFORMER 9T51B000","TRANS. .250 KVA      D4-S3"
"306926","1205860","DRY TYPE TRANS. .500 9T51B0008","KVA 50/60 HZ.     D4-S6"
"412005","1205861","COUPLING 5/8"" HAMMER LOCK","QUICK-ALLOY COUPLING LINK #5779155 G5-S5"
"405134","1205862","E-75 E-RING FOR 3/4""","SHAFT DF. .574 F7-S9"
"401367","1205863","USSHX HD BRAS BOLT 1/2X2""","E9-S8"
"405003","1205864","5/16""X1 1/2"" ELEVATOR BOLT","MAINT.SHOP"
"405004","1205865","3/8""X 1 1/2"" ELEVATOR BOLT","F7-S6"
"405147","1205866","SH-125 EXTERNAL","RETAINING RING        F7-S9"
"305119","1205867","BULB T51 6VOLT","(S1 6V 1C.P.)     D8-S4"
"305120","1205868","LAMP SCREW BASE","(6-S-6) 6 VOLT     D9-S2"
"305121","1205869","BULB (S-6-6 WATT)","125 VOLT)      D8-S2"
"305123","1205870","BULB SCREW BASE (6/PACK)","WATT 155 VOLT)     D8-S4"
"306603","1205871","CAPACITOR (50 V)","1C4-3 100 MFD)     D6-S6"
"306605","1205872","CAPACITOR PVC 21","1MF-10% 200VOLT     D6-S6"
"302893","1205873","OVERLOAD HEATERS F71.9B","C4-S5"
"302895","1205874","OVERLOAD HEATERS CC103","C5-S1"
"302897","1205875","OVERLOAD HEATERS B-2","C5-S1"
"302898","1205876","OVERLOAD HEATERS B-3","C5-S1"
"302899","1205877","OVERLOAD HEATERS F61.4B","C4-S5"
"303357","1205878","PUSH BUTTON EMERGENCY STOP","10250T29              C7-S1"
"523884","1205879","STRIKER RETURN SHOCK ABSORBER","CDL PART# 11060138      L1-S4"
"523883","1205880","SPRING CAP","ABSORBER/CDL PART# 11060139     L1-S3"
"523882","1205881","SEAL, PISTON K5-50.8X43X4.0","CDL PART# 21060586   L1-S3"
"523880","1205882","SEAL, RETURN CYLINDER","S5-75X63X6/CDL PART# 23SEL040087   L1-S4"
"413136","1205883","FITTING, FEMALE","BR. TEE  (650-24)              G6-S3"
"408568","1205884","GAUGE J-8005 VAC 3-1/2""-1/4 LM","F1-S9"
"408569","1205885","GAUGE J-8040 23K, 3-1/2"", 0-15","0-15 PSI PRESSURE GAUGE     F1-S10"
"408570","1205886","OXYGEN GAUGE 200# 2 1/2""","2 1/2"" DIA       F1-S10"
"408571","1205887","OXYGEN GAUGE 1/4"" BOT.","CON. 2 1/2D 4000L       F1-S10"
"413142","1205888","FITTING, 60SA04X06","HYDRAULIC FITTING      G6-S4"
"408573","1205889","HYDROGEN GAUGE","0-1500 LBS.      F1-S10"
"408574","1205890","GAUGE SERIES 2010","0-10"" WATER RANGE     G1-S1"
"413143","1205891","HYDRAULIC FITTING 60SA06X04","(60SA-06X04)          G6-S4"
"416441","1205892","TAPERLOCK BUSHING2517 X 2 7/16","(2517-2 7/16"")      H1-S5"
"416481","1205893","BUSHING TAPERLOCK  SF-1 15/16""","LOCK BUSHING      H1-S6"
"416482","1205894","BUSHING QD  E-2 1/4""","H1-S7"
"408075","1205895","ICR RELAY S14293-14","FOR LINCOLN RANGER 10      F5-S8"
"416484","1205896","BUSHING QD  E-2 1/8""","H1-S9"
"416485","1205897","BUSHING, TAPERLOCK  2517 7/8""","TAPERLOK BUSHING       H1-S3"
"416487","1205898","BUSHING SF 2""","MARTIN     H1-S2"
"417112","1205899","BEARING, 608Z","I1-S4"
"413372","1205900","HOSE HYDRAULIC 1-1/2"" 3000PSI 90""L","STRAIGHT SWIVEL / 90*SWIVEL FOR Q.F.    X-4"
"408084","1205901","CUTTING 225-830-0","TIP FOR AIRCO 164  F5-S8"
"408578","1205902","OXYGEN GAUGE 45-1377SS-04B-X6B","OXYGEN GAUGE G1-S1"
"408579","1205903","SLACK TUBE 3T404","MANOMETER DWYER   G2-S1"
"408581","1205904","SIGHT GLAS RIGIDPLASTIC #1U943","SIGHT GLASS    G1-S1"
"408087","1205905","AMP TIPS 8-6572 400","F5-S7"
"407513","1205906","HOSE, OXYGEN 3/4""","3/4"" 300#WP W23-FL"
"411454","1205907","TAPE MEASURE W9210ME","1/2""/13MM X 10' T-4"
"411334","1205908","WIRE, STRIPPER 45120","T4-S2"
"416439","1205909","TAPERLOCK BUSHING 2517 2 3/16""","BUSHING TAPER LOCK       H1-S5"
"416440","1205910","TAPERLOCK BUSHING 2517 2 1/4""","TAPER LOCK      H1-S5"
"415464","1205911","250034-112 SEPARATOR","SULLAIR W-34"
"415467","1205912","#R260-2940 AIR FILTER","NORTH AMERICAN     W-34"
"415468","1205913","AIR FILTER #46-1574","FOR #5 QUENCH FURNACE 39-001  W34-FL"
"415469","1205914","#PA-2360FN OUTER AIR FILTER","FILTER       H6-S2"
"415471","1205915","46562 WHD","HASTINGS      H6-S5"
"416410","1205916","TAPER LOCK E-2 7/16""","BUSHING  WOOD      H1-S9"
"405220","1205917","KEYSTOCK 1-1/4"" X 12"" LONG","F6-S1"
"408670","1205918","SKILL SAW BLADE  (7 1/4"")","G1-S7"
"414557","1205919","JC 10750 EYE BRACKET 3/4"" PIN","**REPLACED S-452-M**            H9-S7"
"405115","1205920","HO50 INTERNAL RET.RING","F7-S8"
"405119","1205921","HO-81 INTERNAL","RETAINING RING  F7-S8"
"405120","1205922","HO-87 INTERNAL","RETAINING RING F7-S8"
"405121","1205923","HO-100 INTERNAL","RETAINING RING  F7-S8"
"405122","1205924","HO-106 INTERNAL","RETAINING RING  F7-S8"
"405123","1205925","1327 EXTERNAL","RETAINING RING     F7-S10"
"414558","1205926","ROD CLEVIS, #FRC-0750-10","(S462-10)        H9-S7"
"411411","1205927","DIAGONAL PLIERS 9-45074","CUTTING PLIERS        T4-S1"
"407547","1205928","MALE NIPPLE HO-E 1/4"" NPT","***MALE THREAD ONLY NOT FEMALE THREAD***       F5-S3"
"309430","1205929","TOGGLE #82612","SWITCH 6-TERMINAL      E7-S5"
"309432","1205930","SWITCH 30 #E-1417","AMP 110/250V      E7-S5"
"413225","1205931","FITTING #9S12P12-PF12 3/4","CONT. SWIVEL      G6-S6"
"413774","1205932","SULLAIR OIL FILTER#250025-525","FILTER (USES 413751 ALSO)       G8-S11"
"413776","1205933","SKB-2-SS-50 FILTER","G7-S9"
"303347","1205934","RUBBER BOOT, #CH10250TA3","BLACK FLEXIBLE BOOT FOR P.B.      C6-S7"
"303348","1205935","RUBBER BOOT, #CH10250TA4","RED FLEXIBLE BOOT FOR P.B.       C6-S7"
"303349","1205936","LENS, RED, #CH10250TC1N","C6-S10"
"306924","1205937","DRY TYPE TRANS. .050","KVA 50/60 HZ      D4-S6"
"309830","1205938","RED URETHANE SEAL COAT","SEAL COAT       E8-S6"
"309831","1205939","CORD GRIP 074-01-025","7/8"" CORD SIZE      E8-S5"
"306319","1205940","FAN GUARD (20"") 2ATB8","C1-FL"
"306320","1205941","BLOWER (4C006)","D6-S4"
"306321","1205942","FAN BLADES (20"") 2C365","C1-FL       ***FOR 1/2 SHAFT****"
"306400","1205943","MOTOR BRUSHES (25 H.P.","REULAND MOTOR)     D6-S5"
"306932","1205944","DC CONTROLLER (BCWD140)","CONTROL 115V 15AMP      D3-S3"
"309618","1205945","PHOTOELECTRIC 2001","CONTROL 130 VOLT      E7-S2"
"309619","1205946","EMERGENCY LIGHT EM6-V","E8-S10"
"306933","1205947","IGNITION TRANS.","(JANITROL)     D4-S5"
"306160","1205948","MOTOR, 30 HP 1200 RPM","#89-0430B 364US FRAME H-60MIN W4-T"
"306161","1205949","MOTOR, 1.5HP, 1700RPM, 145TC","TEFC 208-230/460V, #VM3554T  (BALDOR)   W3-B2"
"309009","1205950","GRIP, SEALTIGHT STRAIGHT","NPT 1/2""                  E5-S11"
"309010","1205951","UNISTRUT CLAMP 2""","E4-S3"
"405077","1205952","5/8""SAE HELI COIL REP.KIT","F7-S7"
"309011","1205953","CONDUIT HANGERS 2"" HANG-ON","#H200 STCGH5B    E4-S8"
"309800","1205954","WIRE MARKER #PK-9","E8-S8"
"309801","1205955","#PWM-PK3 WIRE MARKERS","E8-S8"
"309802","1205956","CORD #022-01-014","GRIP .625-.750       E8-S4"
"309803","1205957","HEAT SHRINK TUBING #HS12-6","HEAT SHRINK TUBING       E8-S6"
"309012","1205958","CONDUIT HANGER 1 1/2""","HANG-ON    (H150)    E4-S8"
"309403","1205959","MALE PLUG #5366-N","20 AMP 115  VOLT      E7-S2"
"309404","1205960","LOCKING PLUG 30A 21415B","600 VOLT 4-WIRE      E7-S3"
"309406","1205961","LIGHT TOGGLE C5115","SWITCH SINGLE POLE       E7-S2"
"309407","1205962","FEMALE TWIST 7565-C","LOCK 15AMP 115 VOLT      E7-S3"
"401352","1205963","RD.HD.BRASSCREW 10/32X1/2""","E9-S10"
"401353","1205964","RD.HD.BRASS SCREW 10/32X1""","E9-S10"
"401355","1205965","BRASS HX.HD.BOLT 1/4X1""","E9-S10"
"309260","1205966","CONDUIT K.O. PLUG 2""","E6-S3"
"309261","1205967","PLUG 1-7/32   #10250TA7","E6-S3"
"309300","1205968","CONTROL 10250TN13","ENCLOSURE 3-ELEMENT      E6-S10"
"309301","1205969","PENDANT RPS-3-1A","E6-S8"
"309302","1205970","2 HOLE 10250TN12","ENCLOSURE      E6-S10"
"309303","1205971","JIC BOX 10"" X 8"" X 6""","E9-S2"
"309304","1205972","JIC 6"" X 6"" X 4""","BOX HINGE TYPE        E9-S2"
"401402","1205973","BRASS NUTS 8/32","E9-S11"
"401305","1205974","HEX HD BOLT MMSS  16X60","E9-S6"
"401306","1205975","HEX HD BOLT MMSS  20X110","E9-S7"
"305141","1205976","PILOT LIGHT ASSY.","1/4 WATT 250 VOLT     D8-S4"
"305143","1205977","BULBS (387)","D8-S4"
"305144","1205978","LAMP (1449) W/SCREW BASE","D8-S5"
"307104","1205979","COIL 10-1233","E1-S5"
"308854","1205980","LUG #1-2/0  3/8"" BOLT HOLE","E3-S2"
"308855","1205981","LUG, BOLT  #54109-1/0 AWG.","3/8"" BOLT LUG E3-S7"
"411149","1205982","VALVE SOLENOID D-08","FOR NEW ROLL-OVER  P/T# C-SD1-24-70   O6-S2"
"411150","1205983","CHECK VALVE COOLER YUKEN CIT-06-35-5090","FOR NEW ROLL-OVER  O6-S3"
"411151","1205984","CHECK VALVE COOLER YUKEN CIT-06-00-5090","FOR NEW ROLL-OVER  O6-S3"
"411152","1205985","COUNTERBALANCE VALVE SPOOL","FOR NEW ROLL-OVER PART# CBGALHN  O6-S2"
"411153","1205986","VALVE SOLENOID D-05","FOR NEW ROLL-OVER  P/T# C-SD1-24-70   O6-S2"
"411154","1205987","VALVE SPOOL D05","FOR NEW ROLL-OVER  PART# 1751S-VK314820-2 (3C4)"
"411175","1205988","SENSOR INDUCTIVE EFECTOR 100","IG5788 IGK3008 BB PKG/US-100-DPS U-A-1212-038    O6-S5"
"411176","1205989","SENSOR PHOTO ELECTRIC IFM","O6-S5"
"306788","1205990","RESISTOR IC9033B464","11 OHM GENERAL ELECTRIC      D4-S7"
"306789","1205991","RECTIFIER ECG-5322","PHILLIPS ECG      D5-S1"
"306791","1205992","SEMICONDUCTOR ECG5818","D5-S2"
"306793","1205993","#3400S1103 10K 5 WATT 10","TURN POT.     D5-S3"
"401331","1205994","STAINLESS STEEL 1/2"" X 2-1/2""","USS STAINLESS STEEL HEX      E9-S11"
"401332","1205995","USS STAINLESS 1/2""","STEEL HEX NUTS      E9-S7"
"308510","1205996","CORD S.O.  (BLACK) #8/4","E1-S8"
"401333","1205997","USS STAINLES 5/16""X 2 1/4""","STEEL BOLT HEX HD. 18-8  E9-S5"
"401351","1205998","RD.HD.BRASS SCREW 8/32X1""","E9-S10"
"309835","1205999","CORD GRIP #DBKG-18","E8-S5"
"309836","1206000","cord grips #074-01-018","CORD GRIPS 3/4 NPT HUB      E8-S4"
"309837","1206001","CORD GRIP SHC1022","FOR 16/3 CORD       E8-S3"
"308512","1206002","CABLE WIRE #16","22 CONDUCTOR      E2-S8"
"309620","1206003","BALLAST 806-BR","E6-S9"
"308600","1206004","CABLE R-16/8SR ELECTROMOTIVE","ROUND PENDANT CABLE W/BUILT IN STRAIN RELIEF.  E3-FL"
"309621","1206005","CAT. #VPT-7X SOCKET","FOR #VX-HA-75      E7-S8"
"303372","1206006","PUSH BUTTON, YELLOW, FLUSH","OPERATOR, #CH10250T104      C7-S2"
"303373","1206007","OPERATOR, RED, JUMBO HEAD","#CH10250T172       C7-S1"
"303374","1206008","INDICATING LIGHT,#CH10250T181N","120V/XFR          C7-S2"
"303375","1206009","EXTERNAL RESET-O, 10935H3","PERATOR (10935H3)     C7-S1"
"303376","1206010","LENS, GREEN, #CH10250TC2N","PLASTIC          C6-S8"
"303377","1206011","SELECTOR SWITCH, #CH10250T1311","2 POSITION, KNOB      C7-S3"
"303378","1206012","SELECTOR SWITCH, #CH10250T1323","3 POSITION, KNOB, MAC3      C7-S2"
"304185","1206013","FUSE  AGX-12","C7-S5"
"304186","1206014","FUSE (KTK-R 1/2) CLASS CC","C8-S6"
"304187","1206015","FUSE (FRN-1 4/10)","250 VOLTS     C7-S6"
"306764","1206016","COMPONENT ECG-5313","D5-S1"
"306765","1206017","RECTIFIER ST340-1B1-BBX","(SILICON BRIDGE)      D5-S2"
"306766","1206018","VARSITOR V130LA10A","VARISTOR (TYPE L)      D5-S2"
"306767","1206019","DIODE ECG5905","D5-S2"
"306768","1206020","DIODE (ECG5904)","D5-S2"
"306771","1206021","RESISTORS 270-225P-46","(5 K OHMS 225 WATT      D5-S6"
"308200","1206022","WIRE, #12SR-ML  (RED)","A1"
"309623","1206023","BALLAST 800MA 480-X-LH","RAPID START 120 V       E6-S9"
"309625","1206024","MODEL #65 (651)","WARN-A-LITE 120 V. RED E8-S10"
"401708","1206025","1 1/2""ALLTHRD RDUSS 3FTLG","U6"
"304243","1206026","FUSE #ATC 25","C7-S6"
"302013","1206027","LIMIT SWITCH 10316H89A","B1-S2"
"302014","1206028","OPERATING HEAD ASSEMBLY- 7246","B1-S2"
"302015","1206029","LIMIT SWITCH, CHE51SCL","B2-S2"
"302016","1206030","LOW TORQUE SWITCH 0E51-00B0","B2-S2"
"302017","1206031","ACTUATOR WIREFORM  0014-0645","PART#46F5561    B2-S2"
"302018","1206032","MODULE LIGHT LM3","B2-S8"
"106057","1206033","BOLT, LAG 1/4 X 5 HEX HEAD","LAG SCREW    366 PER 20LB BOX"
"302064","1206034","LIMIT SWITCH AW-12","(CLASS 9007) B2-S5"
"302065","1206035","LIMIT SWITCH ARM B-22","B1-S4"
"302066","1206036","LIMIT SWITCH C54B2","SQUARE D     B2-S4"
"303430","1206037","SELECTOR SWITCH, #CH10250T3043","3 POSITION, LVR SPR-RL C3        C7-S2"
"303431","1206038","MODULE, OPERATOR LIGHT","PUSH-PULL, 120V TRANSFORMER   C6-S2"
"303432","1206039","LENS, RED, #CH10250TC7","C6-S9"
"303433","1206040","LENS, RED, PUSH-PULL","#CH10250TC47            C6-S9"
"303434","1206041","PUSH-PULL,OPERATOR, #CH1025OT5","C7-S1"
"303435","1206042","PUSH BUTTON PB-3A","TWO STAGE    C7-S1"
"303436","1206043","CONTACT BLOCK ZB2-BE102","TELEMECANIQUE      C7-S1"
"302303","1206044","CURRENT MONITOR CMO-120-ASA-5","CURRENT MONITOR (DIVERSIFIED ELECTRONICS)     C2-S4"
"302305","1206045","RELAY 700-N400-A1","POLE N.O. SERIES C) C2-S1"
"302306","1206046","RELAY 700-P800A1","(SERIES C 8 POLE)    C2-S1"
"303227","1206047","RUBBER BOOT, #CH10250TA25","TRANSPARENT P.B. BOOT        C6-S8"
"303301","1206048","PUSH BUTTON E30AD","OPERATOR      C6-S6"
"303303","1206049","IND. LIGHT E30BA","C6-S6"
